Age,Monthy Earnings,Gender,Home Loan,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
35-60,70000- 1 lakh,Male,Yes,1,21% - 30%,Married,4,Yes,50000- 1 Lac,51-75%,Business,No I'd not like to buy solar,
25-35,20000 - 70000,Male,Yes,5,21% - 30%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,
25-35,20000 - 70000,Female,No,3,31% - 40%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,Less than 20000,Female,No,5,21% - 30%,Single,4,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,
25-35,20000 - 70000,Male,Yes,5,>50%,Single,3,No,Less than 50000,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
25-35,20000 - 70000,Male,No,3,41% - 50%,Single,3,No,Less than 50000,>75%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,
35-60,1 lakh +,Male,No,4,31% - 40%,Married,5+,Yes,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,20000 - 70000,Female,No,1,41% - 50%,Single,3,No,Less than 50000,<25%,I don't work,No I'd not like to buy solar,
15-25,20000 - 70000,Male,Yes,3,31% - 40%,Single,2,No,Less than 50000,<25%,Unemployed ,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
25-35,70000- 1 lakh,Female,No,4,21% - 30%,Single,5+,Yes,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
35-60,20000 - 70000,Female,Yes,3,>50%,Married,3,No,1 Lac - 2 Lacs,>75%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
60+,20000 - 70000,Male,No,3,31% - 40%,Married,3,Yes,Less than 50000,<25%,retired,No I'd not like to buy solar,
15-25,1 lakh +,Female,No,2,21% - 30%,Single,5+,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,20000 - 70000,Female,No,2,21% - 30%,Single,5+,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,
15-25,Less than 20000,Male,No,3,10% - 20%,Single,1,No,Less than 50000,<25%,Private,No I'd not like to buy solar,
15-25,70000- 1 lakh,Male,Yes,4,31% - 40%,Single,2,Yes,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
35-60,70000- 1 lakh,Female,Yes,3,31% - 40%,Married,2,Yes,50000- 1 Lac,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,70000- 1 lakh,Female,No,1,21% - 30%,Single,1,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,
25-35,20000 - 70000,Female,No,5,41% - 50%,Single,1,Yes,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,70000- 1 lakh,Female,No,3,>50%,Single,3,No,50000- 1 Lac,<25%,High school graduate,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,20000 - 70000,Male,No,3,31% - 40%,Single,4,Later,50000- 1 Lac,<25%,Not working  studying,Saving 1000+/month saving on electricity bill after spending 45000/KW,
35-60,20000 - 70000,Female,Yes,1,31% - 40%,Married,2,No,Less than 50000,<25%,House Wife ,Saving 1000+/month saving on electricity bill after spending 45000/KW,
25-35,20000 - 70000,Male,Yes,3,31% - 40%,Single,4,No,Less than 50000,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,Less than 20000,Female,No,5,21% - 30%,Single,4,No,Less than 50000,<25%,Student,No I'd not like to buy solar,
15-25,1 lakh +,Male,No,5,41% - 50%,Single,5+,No,Less than 50000,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,1 lakh +,Male,No,3,>50%,Single,4,No,Less than 50000,<25%,Business,No I'd not like to buy solar,
15-25,20000 - 70000,Male,No,1,>50%,Single,4,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,
15-25,1 lakh +,Female,No,4,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,Student,No I'd not like to buy solar,
15-25,Less than 20000,Male,Yes,4,21% - 30%,Single,3,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,70000- 1 lakh,Male,No,4,21% - 30%,Single,4,No,1 Lac - 2 Lacs,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,
15-25,20000 - 70000,Female,Yes,3,31% - 40%,Single,4,No,Less than 50000,26-50%,Studying,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,Less than 20000,Female,No,3,31% - 40%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,
15-25,20000 - 70000,Female,No,1,21% - 30%,Single,3,No,Less than 50000,51-75%,I am still studying ,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,1 lakh +,Female,No,4,21% - 30%,Single,3,Yes,50000- 1 Lac,26-50%,Business,No I'd not like to buy solar,
15-25,70000- 1 lakh,Female,No,1,41% - 50%,Single,5+,Yes,Less than 50000,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
35-60,20000 - 70000,Female,Yes,2,21% - 30%,Married,4,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
15-25,20000 - 70000,Female,No,1,21% - 30%,Single,3,No,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,Less than 20000,Female,No,1,10% - 20%,Single,4,No,Less than 50000,26-50%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,20000 - 70000,Female,No,1,31% - 40%,Single,3,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,20000 - 70000,Female,No,1,21% - 30%,Single,2,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,Less than 20000,Female,No,2,31% - 40%,Single,2,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Raebareli
15-25,70000- 1 lakh,Male,No,3,31% - 40%,Single,5+,No,Less than 50000,<25%,N/a,No I'd not like to buy solar,Hyderabad
15-25,Less than 20000,Female,No,1,10% - 20%,Single,3,No,Less than 50000,<25%,Business,No I'd not like to buy solar,Hyderabad
15-25,20000 - 70000,Female,No,3,31% - 40%,Single,3,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,Hyderabad
15-25,20000 - 70000,Female,No,2,10% - 20%,Single,3,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,Hyderabad
15-25,70000- 1 lakh,Female,No,1,31% - 40%,Single,4,Yes,Less than 50000,26-50%,Government,No I'd not like to buy solar,Hyderabad
25-35,20000 - 70000,Male,No,1,21% - 30%,Single,5+,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,hyderabad
15-25,70000- 1 lakh,Female,No,2,31% - 40%,Single,4,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,Hyd
15-25,Less than 20000,Female,No,1,21% - 30%,Single,2,No,Less than 50000,<25%,Government,No I'd not like to buy solar,hyderabad
25-35,20000 - 70000,Female,No,2,31% - 40%,Married,3,No,Less than 50000,26-50%,notbworking ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Rajendranagar
15-25,20000 - 70000,Female,Yes,3,31% - 40%,Single,3,Yes,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
15-25,Less than 20000,Female,No,4,10% - 20%,Single,3,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Hyderbad
15-25,20000 - 70000,Female,No,1,31% - 40%,Single,2,Yes,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,1 lakh +,Female,No,1,31% - 40%,Single,3,No,Less than 50000,<25%,Doesnt work,No I'd not like to buy solar,Muzaffarnagar
15-25,20000 - 70000,Male,No,1,31% - 40%,Single,4,No,50000- 1 Lac,<25%,Private,No I'd not like to buy solar,hyderabad
15-25,Less than 20000,Female,No,1,41% - 50%,Single,5+,No,Less than 50000,51-75%,not yet  working ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,Less than 20000,Female,No,2,21% - 30%,Single,4,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Ernakulam
15-25,70000- 1 lakh,Male,Yes,1,>50%,Single,4,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Ernakulam
15-25,20000 - 70000,Male,No,5,10% - 20%,Single,4,No,Less than 50000,<25%,Private,No I'd not like to buy solar,BANGLORE
15-25,70000- 1 lakh,Male,No,5,21% - 30%,Single,3,No,50000- 1 Lac,26-50%,Private,No I'd not like to buy solar,Thrissur
15-25,Less than 20000,Female,No,2,41% - 50%,Single,4,No,Less than 50000,<25%,I'm a student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,KOCHI
25-35,Less than 20000,Male,No,1,10% - 20%,Single,1,Rent,Less than 50000,<25%,Private,No I'd not like to buy solar,Kollam
15-25,20000 - 70000,Female,No,2,31% - 40%,Single,5+,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,nagpur
25-35,1 lakh +,Male,No,3,31% - 40%,Single,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Palakkad
15-25,Less than 20000,Male,Yes,4,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,Student ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
15-25,20000 - 70000,Female,Yes,5,31% - 40%,Single,4,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Ernakulam
25-35,20000 - 70000,Male,No,2,31% - 40%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Kollam
15-25,20000 - 70000,Female,No,3,31% - 40%,Single,4,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,Hyderabad
25-35,20000 - 70000,Male,No,5,31% - 40%,Single,3,No,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,Less than 20000,Female,No,5,31% - 40%,Single,1,No,Less than 50000,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Katihar
15-25,20000 - 70000,Male,Yes,3,10% - 20%,Single,3,Yes,50000- 1 Lac,<25%,Business,No I'd not like to buy solar,Mumbai
35-60,20000 - 70000,Male,Yes,2,21% - 30%,Married,2,No,Less than 50000,<25%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
15-25,20000 - 70000,Female,No,1,21% - 30%,Single,2,No,Less than 50000,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,SHAHPUR
35-60,70000- 1 lakh,Male,Yes,4,10% - 20%,Single,2,No,Less than 50000,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Nasik
35-60,20000 - 70000,Male,No,5,41% - 50%,Married,4,No,50000- 1 Lac,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,1 lakh +,Female,No,1,21% - 30%,Single,3,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mumbai
15-25,20000 - 70000,Male,No,3,31% - 40%,Single,2,Yes,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mumbai
15-25,Less than 20000,Male,No,3,31% - 40%,Single,1,No,Less than 50000,26-50%,Student,No I'd not like to buy solar,Nashik
35-60,70000- 1 lakh,Male,No,1,41% - 50%,Married,4,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,MUMBAI
15-25,20000 - 70000,Male,No,5,>50%,Single,1,No,Less than 50000,26-50%,Student,No I'd not like to buy solar,NaviMumbai
25-35,1 lakh +,Male,No,4,31% - 40%,Single,3,No,1 Lac - 2 Lacs,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,20000 - 70000,Male,No,2,21% - 30%,Single,2,No,Less than 50000,>75%,Unemployed ,No I'd not like to buy solar,Hyderabad
35-60,20000 - 70000,Male,No,5,>50%,Married,5+,Yes,Less than 50000,>75%,Private,No I'd not like to buy solar,Aurangabad
25-35,Less than 20000,Male,No,3,31% - 40%,Single,4,No,Less than 50000,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
35-60,1 lakh +,Male,No,1,10% - 20%,Married,3,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Nashik
35-60,20000 - 70000,Male,No,5,31% - 40%,Married,3,No,Less than 50000,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Female,No,3,31% - 40%,Married,4,Yes,Less than 50000,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhopal
35-60,1 lakh +,Male,Yes,5,31% - 40%,Married,3,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Nashik
35-60,70000- 1 lakh,Female,Yes,2,41% - 50%,Married,5+,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,Less than 20000,Male,Yes,3,21% - 30%,Single,4,Yes,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mumbai
15-25,1 lakh +,Male,No,5,21% - 30%,Single,2,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
15-25,Less than 20000,Female,No,3,21% - 30%,Single,1,No,Less than 50000,26-50%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Indore
25-35,70000- 1 lakh,Male,No,5,31% - 40%,Married,3,Yes,2 Lacs +,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,panvel
35-60,1 lakh +,Female,Yes,3,31% - 40%,Married,4,No,50000- 1 Lac,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Solapur
35-60,70000- 1 lakh,Male,No,3,10% - 20%,Married,4,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Nashik
35-60,70000- 1 lakh,Female,Yes,3,21% - 30%,Married,3,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,delhi
15-25,20000 - 70000,Male,No,3,31% - 40%,Single,2,No,Less than 50000,26-50%,student.,No I'd not like to buy solar,Delhi
25-35,20000 - 70000,Male,No,4,10% - 20%,Single,1,Yes,Less than 50000,26-50%,Business,No I'd not like to buy solar,Nandurbar
25-35,1 lakh +,Male,Yes,1,41% - 50%,Married,5+,No,Less than 50000,>75%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,nashik
35-60,70000- 1 lakh,Male,No,2,>50%,Married,4,No,50000- 1 Lac,26-50%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Nashik
35-60,1 lakh +,Male,Yes,5,41% - 50%,Married,5+,No,1 Lac - 2 Lacs,51-75%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Nasik
35-60,20000 - 70000,Male,Yes,5,>50%,Married,4,No,Less than 50000,26-50%,Business,No I'd not like to buy solar,Nagpur
35-60,1 lakh +,Male,Yes,3,41% - 50%,Married,4,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Surat
25-35,20000 - 70000,Male,No,5,21% - 30%,Married,4,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Indore
35-60,1 lakh +,Male,Yes,3,31% - 40%,Married,4,Rented,2 Lacs +,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Indore
35-60,Less than 20000,Male,Yes,3,>50%,Married,4,No,50000- 1 Lac,51-75%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Dhule
25-35,1 lakh +,Female,Yes,3,>50%,Married,4,No,1 Lac - 2 Lacs,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,DeolaliCamp(Nasik)
35-60,1 lakh +,Male,No,4,21% - 30%,Married,5+,No,50000- 1 Lac,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,thissur
15-25,Less than 20000,Male,No,3,31% - 40%,Single,4,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bengaluru
15-25,70000- 1 lakh,Male,No,3,10% - 20%,Single,2,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Navimumbai
60+,20000 - 70000,Male,Yes,4,21% - 30%,Married,3,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
25-35,1 lakh +,Male,No,1,21% - 30%,Single,2,No,50000- 1 Lac,<25%,Government,No I'd not like to buy solar,Nashik
25-35,20000 - 70000,Male,No,2,31% - 40%,Married,3,Yes,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NaviMumbai
35-60,20000 - 70000,Female,Yes,3,>50%,Married,3,No,Less than 50000,<25%,House wife,No I'd not like to buy solar,Navimumbai
35-60,20000 - 70000,Female,Yes,5,21% - 30%,Married,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NaviMumbai
15-25,70000- 1 lakh,Female,Yes,4,21% - 30%,Single,3,No,Less than 50000,26-50%,student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Newdelhi
15-25,70000- 1 lakh,Male,No,3,21% - 30%,Single,3,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Aurangabad
60+,20000 - 70000,Male,No,1,>50%,Married,5+,No,50000- 1 Lac,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Pune
35-60,20000 - 70000,Male,Yes,5,41% - 50%,Married,4,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
15-25,20000 - 70000,Male,No,3,41% - 50%,Single,2,No,Less than 50000,51-75%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kochi
25-35,70000- 1 lakh,Male,No,3,21% - 30%,Single,2,No,50000- 1 Lac,26-50%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,BENGALURU
15-25,1 lakh +,Female,No,5,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,MNC,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mangaluru
15-25,70000- 1 lakh,Female,Yes,5,21% - 30%,Single,5+,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Vizag
15-25,1 lakh +,Female,No,5,21% - 30%,Single,5+,No,1 Lac - 2 Lacs,51-75%,student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Lucknow
15-25,20000 - 70000,Male,Yes,5,21% - 30%,Single,5+,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Pen.
35-60,Less than 20000,Male,No,4,31% - 40%,Married,3,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Bijnor
15-25,20000 - 70000,Female,No,4,31% - 40%,Single,5+,Yes,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Rourkela
15-25,1 lakh +,Female,No,3,41% - 50%,Single,4,No,Less than 50000,51-75%,Studying ,No I'd not like to buy solar,Hyderabad
15-25,Less than 20000,Female,No,1,>50%,Single,4,No,Less than 50000,<25%,Business,No I'd not like to buy solar,NewDelhi
15-25,Less than 20000,Female,No,2,21% - 30%,Single,2,No,Less than 50000,<25%,Student,No I'd not like to buy solar,Delhi
15-25,Less than 20000,Male,No,5,>50%,Single,2,No,Less than 50000,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
15-25,20000 - 70000,Female,Yes,2,>50%,Single,5+,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,Less than 20000,Female,No,2,10% - 20%,Single,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,delhi
15-25,Less than 20000,Male,No,5,>50%,Single,4,Yes,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,20000 - 70000,Female,No,3,41% - 50%,Single,5+,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,Delhi
15-25,Less than 20000,Female,No,2,31% - 40%,Single,2,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NorthWestDelhi
15-25,20000 - 70000,Male,No,1,10% - 20%,Single,4,No,Less than 50000,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,NorthWest
15-25,Less than 20000,Male,No,3,10% - 20%,Single,1,No,Less than 50000,<25%,Labour,No I'd not like to buy solar,delhi
15-25,Less than 20000,Male,No,2,21% - 30%,Married,5+,No,Less than 50000,26-50%,self ,No I'd not like to buy solar,DELHI
15-25,Less than 20000,Male,No,1,10% - 20%,Single,1,No,Less than 50000,>75%,nothing,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,1 lakh +,Male,No,3,31% - 40%,Single,4,No,50000- 1 Lac,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Pune
25-35,20000 - 70000,Female,No,3,21% - 30%,Married,4,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Mumbai
15-25,70000- 1 lakh,Female,No,4,21% - 30%,Single,2,No,Less than 50000,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
25-35,20000 - 70000,Male,No,4,31% - 40%,Married,3,Yes,50000- 1 Lac,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,hyd
35-60,20000 - 70000,Female,No,3,21% - 30%,Married,5+,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,NaviMumbai
25-35,70000- 1 lakh,Male,No,5,21% - 30%,Married,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Newdelhi
15-25,20000 - 70000,Male,No,1,10% - 20%,Single,3,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Delhi
15-25,1 lakh +,Male,No,5,>50%,Single,4,Yes,2 Lacs +,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kothamangalam
25-35,20000 - 70000,Male,No,3,10% - 20%,Single,4,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Ulwe
25-35,20000 - 70000,Female,No,2,>50%,Single,4,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Dehradun
15-25,Less than 20000,Male,No,1,10% - 20%,Single,5+,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Dehradoon
15-25,20000 - 70000,Female,No,3,>50%,Single,5+,No,Less than 50000,26-50%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhagalpur
15-25,Less than 20000,Male,No,2,10% - 20%,Single,5+,No,Less than 50000,51-75%,Business,No I'd not like to buy solar,Haldaur
15-25,70000- 1 lakh,Female,No,5,21% - 30%,Single,5+,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Dehradoon
15-25,20000 - 70000,Female,No,2,31% - 40%,Single,4,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhagalpur
15-25,20000 - 70000,Female,No,4,10% - 20%,Single,4,No,Less than 50000,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Dehradun
15-25,Less than 20000,Female,No,4,10% - 20%,Single,4,No,Less than 50000,<25%,School,No I'd not like to buy solar,NewDelhi
15-25,Less than 20000,Male,No,1,21% - 30%,Single,4,Yes,Less than 50000,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhagalpur
35-60,1 lakh +,Female,Yes,5,31% - 40%,Married,4,Yes,50000- 1 Lac,26-50%,Government,No I'd not like to buy solar,Forbesganj
15-25,Less than 20000,Male,No,5,10% - 20%,Single,5+,Yes,Less than 50000,>75%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Deoghar
15-25,20000 - 70000,Female,Yes,5,10% - 20%,Single,3,Yes,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Selakui
15-25,Less than 20000,Male,Yes,1,10% - 20%,Single,1,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,Selakui
15-25,Less than 20000,Male,Yes,4,10% - 20%,Married,1,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,Mumbai
25-35,20000 - 70000,Male,No,4,10% - 20%,Single,2,No,Less than 50000,<25%,Business,No I'd not like to buy solar,Bhagalpur
15-25,1 lakh +,Female,No,1,10% - 20%,Single,5+,No,Less than 50000,26-50%,Student ,No I'd not like to buy solar,Munger
