Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,Expected savings,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,State
1,2,1,0,3,1,2,1,0,1,1,0,2,17
0,3,2,0,5,1,2,3,0,1,1,0,2,17
0,3,2,0,5,1,2,4,0,2,2,0,2,38
2,0,1,0,4,2,1,2,0,0,0,3,0,38
0,1,2,0,4,2,2,4,1,0,0,3,2,29
0,3,2,0,3,3,2,3,0,0,2,0,0,36
0,0,2,0,1,4,2,3,0,0,0,2,0,10
0,0,2,0,2,1,2,1,0,0,0,0,0,10
0,0,1,0,5,4,2,1,0,0,1,2,2,10
0,1,2,1,2,4,2,4,0,0,1,1,3,10
0,0,2,0,2,0,2,1,0,0,0,1,3,10
0,0,1,0,5,4,2,3,1,0,1,1,3,10
0,1,2,0,3,3,2,4,1,0,0,1,0,10
0,0,2,0,2,2,2,1,0,0,0,3,2,10
0,0,1,0,3,0,2,0,0,0,0,0,0,10
0,0,1,0,2,1,1,4,0,0,1,0,0,10
0,0,1,0,1,0,2,0,0,0,3,0,3,36
0,3,1,0,3,2,2,3,0,1,3,1,3,22
1,1,2,0,3,1,1,3,0,0,0,1,0,22
0,2,2,0,4,1,2,1,0,0,3,1,2,17
1,1,1,0,4,2,1,2,1,1,2,1,3,36
2,1,2,0,3,1,1,4,1,0,0,1,3,22
1,2,1,0,5,1,1,1,0,0,0,1,3,10
0,1,1,0,1,0,2,2,0,0,0,1,0,10
0,3,1,0,5,4,2,3,1,3,2,1,3,19
1,1,2,0,2,4,2,3,0,1,1,1,2,39
0,0,1,0,1,0,2,4,0,0,0,3,0,39
0,1,2,0,3,4,2,4,0,0,1,2,3,5
0,0,1,0,2,0,2,4,0,0,2,2,0,38
0,2,2,0,5,1,2,4,1,0,0,1,3,39
0,1,2,0,2,2,2,3,0,0,0,3,2,5
0,1,2,0,4,0,2,3,0,0,2,1,2,39
0,0,2,0,4,0,2,3,0,0,0,0,0,10
0,0,1,0,1,1,2,3,1,0,2,1,3,5
2,3,2,1,5,2,1,3,1,1,1,3,0,5
0,0,1,0,5,0,2,4,1,0,3,0,3,16
0,1,2,1,5,0,2,2,1,0,1,3,3,39
0,0,1,1,1,0,2,0,1,0,0,1,0,39
0,0,1,1,4,0,1,0,1,0,0,1,0,22
1,1,1,0,4,0,2,1,0,0,0,2,0,5
0,3,2,0,1,0,2,4,0,0,1,0,0,5
1,1,1,1,2,2,1,1,0,0,1,1,2,5
0,2,2,0,3,4,2,4,0,0,1,3,3,5
1,1,2,0,1,0,1,3,0,0,0,0,3,36
0,1,1,0,2,2,2,2,0,0,1,2,3,10
1,1,1,0,1,1,1,4,0,0,0,1,0,5
0,1,1,0,3,0,2,1,1,0,1,1,3,10
0,3,2,0,5,1,2,3,0,0,2,0,0,5
2,0,2,0,1,0,1,1,0,0,0,0,3,10
0,0,1,0,3,0,2,3,1,0,0,0,3,10
0,0,1,0,2,0,2,3,0,0,0,3,3,10
0,1,1,0,4,2,2,3,0,0,0,1,0,10
0,0,2,0,5,0,2,4,0,0,0,0,3,5
0,1,1,0,5,4,2,3,0,0,0,3,0,5
0,3,1,0,5,3,2,1,1,0,3,3,3,5
0,1,1,0,5,1,2,3,0,0,0,0,3,38
0,0,1,0,5,3,2,4,0,0,2,1,3,22
0,1,1,0,5,0,2,2,0,0,0,0,3,5
0,1,1,0,4,2,2,4,1,1,1,3,3,19
0,3,2,0,3,2,2,2,0,1,1,0,2,5
0,0,2,0,4,4,2,3,1,0,3,1,0,5
0,1,2,0,5,4,2,4,0,0,1,1,2,36
0,0,1,0,1,0,0,1,0,0,0,0,3,19
0,0,2,1,2,2,2,2,0,0,0,0,0,5
2,0,1,0,5,4,1,3,1,0,3,2,3,5
0,1,1,0,3,2,2,4,1,1,1,0,0,5
0,0,1,0,4,4,2,4,1,0,2,0,2,36
0,1,1,0,1,2,2,4,1,0,1,1,0,17
1,3,2,0,5,3,2,1,0,1,3,1,3,5
0,3,1,0,5,3,2,4,1,2,2,2,2,22
0,1,1,0,2,3,2,4,0,0,2,0,2,41
0,0,2,0,1,2,2,3,1,0,0,1,2,5
0,1,2,0,3,1,2,3,0,0,0,3,0,5
0,1,1,0,3,0,2,3,1,0,1,1,0,21
0,0,1,0,4,2,2,2,1,1,2,1,3,5
0,0,2,0,5,4,2,3,1,0,3,2,3,5
0,1,1,0,4,1,2,3,0,0,0,1,3,38
0,0,1,0,5,4,2,4,0,0,2,2,3,16
0,1,1,0,1,0,2,3,0,0,1,1,2,22
0,1,1,1,5,2,2,3,0,0,2,1,0,10
1,1,1,0,5,2,2,3,0,0,3,1,0,39
0,1,2,0,5,1,2,4,1,0,1,1,0,17
1,3,2,0,3,2,2,4,0,2,1,1,3,5
1,1,1,0,1,3,2,4,0,0,2,1,2,5
0,0,2,0,1,0,2,3,1,0,0,1,3,5
0,0,1,0,3,1,2,4,0,0,2,1,3,19
0,0,1,0,4,1,2,2,1,1,2,1,2,38
0,0,1,0,1,3,2,4,0,3,2,3,0,19
0,3,2,0,2,3,2,2,0,0,0,1,2,19
0,0,2,1,3,0,2,1,0,0,0,0,3,19
0,2,2,0,5,1,2,2,0,0,1,0,2,22
1,3,1,0,3,0,2,1,1,0,3,1,0,36
1,1,2,0,1,1,2,2,0,0,0,1,3,36
0,1,2,0,3,3,2,3,1,0,2,1,3,22
1,1,2,0,2,1,1,1,1,0,1,2,2,7
2,0,1,1,5,2,1,4,0,2,1,2,3,17
0,1,1,0,5,3,2,3,0,1,0,0,0,36
1,1,2,0,2,1,1,2,0,0,1,1,3,36
0,1,1,0,3,1,2,4,0,3,0,2,0,19
0,1,1,0,3,1,2,3,0,0,0,3,0,22
1,1,2,0,1,0,1,3,0,0,1,1,3,22
0,1,1,0,1,2,1,0,0,0,0,1,0,19
0,3,2,0,2,3,2,4,0,0,0,1,2,36
0,0,2,1,3,0,2,2,0,0,0,1,3,19
1,1,1,0,4,4,1,2,1,0,2,1,2,36
1,2,2,0,2,1,1,3,0,0,1,1,3,36
0,1,1,0,2,1,2,3,0,0,0,1,3,19
0,2,1,0,3,2,2,3,0,1,0,1,0,36
0,3,2,0,3,2,2,2,0,0,1,2,2,32
0,2,2,0,5,1,2,4,1,0,3,3,2,22
1,0,2,0,3,0,1,4,1,0,1,1,3,32
0,1,2,1,4,4,2,1,1,0,1,3,2,38
0,1,1,0,5,1,2,4,0,0,0,0,0,38
2,1,1,0,4,0,1,4,0,0,0,3,3,38
1,1,1,0,3,1,2,2,1,1,1,2,3,39
2,3,1,1,3,4,1,4,0,0,0,3,0,39
1,3,1,1,3,2,1,2,0,0,0,1,2,22
1,2,1,0,5,2,2,4,0,2,2,1,3,22
2,0,1,1,3,1,1,1,0,0,0,1,2,36
0,1,2,0,2,2,2,3,0,0,0,1,2,36
1,1,2,1,3,0,1,3,1,0,0,1,2,36
1,1,2,0,4,1,2,3,1,0,1,2,2,36
1,1,2,0,4,1,1,3,0,0,0,3,2,12
1,3,1,0,5,1,2,2,0,0,0,2,0,22
0,1,2,0,3,2,2,2,0,0,2,3,0,12
1,1,1,0,5,3,1,2,0,0,0,3,3,32
0,1,2,0,5,0,2,2,0,1,0,2,0,22
2,1,1,1,3,0,1,1,0,0,0,1,0,22
1,2,1,1,5,1,2,3,0,0,0,1,0,10
1,1,1,0,2,0,2,2,0,0,0,1,0,10
0,0,2,0,3,0,2,2,0,0,0,0,3,10
0,1,2,0,3,0,2,2,0,0,0,1,3,4
0,1,1,0,1,1,2,2,0,0,0,2,0,32
2,1,1,0,3,2,1,3,0,0,1,2,3,39
2,1,1,0,4,2,1,4,0,0,0,1,0,39
2,2,2,0,5,1,0,4,1,0,0,0,2,4
0,2,1,0,5,3,2,4,0,2,1,3,2,32
0,1,1,1,2,4,2,4,1,1,0,3,0,4
1,3,1,0,5,3,2,4,1,3,3,3,0,39
0,0,2,0,5,2,2,2,0,0,1,0,3,10
1,1,2,0,3,0,1,2,0,0,0,0,3,10
0,0,1,0,2,0,2,0,1,0,1,3,0,13
2,2,1,0,4,1,1,4,0,0,1,3,0,39
0,1,2,0,4,3,2,4,0,0,2,3,3,38
2,2,1,0,4,2,1,4,0,0,1,3,2,10
2,0,1,0,2,0,1,2,0,0,0,1,0,7
2,1,1,0,1,1,1,3,0,0,1,2,0,32
0,1,2,0,3,1,2,3,0,0,1,1,2,13
0,1,2,0,4,1,2,4,0,1,1,1,0,22
2,1,1,0,1,1,1,1,0,0,0,2,0,22
2,1,1,0,3,3,1,1,0,0,0,2,3,22
2,1,1,1,5,1,1,4,1,0,0,1,0,22
2,1,1,0,3,0,1,0,0,0,0,2,2,13
0,0,1,0,4,1,2,3,0,0,0,2,2,7
0,3,2,1,2,1,2,3,0,0,1,0,0,7
0,1,2,1,4,1,2,3,0,0,1,0,0,7
0,2,2,0,3,0,2,2,0,0,0,0,0,7
0,1,1,0,4,3,2,4,0,0,1,1,0,13
0,0,1,0,5,0,2,1,0,0,0,2,3,36
1,1,2,0,3,1,1,2,0,0,0,1,3,36
1,1,1,0,3,1,1,2,0,0,0,2,2,38
0,1,1,0,2,4,1,4,1,0,1,0,0,13
0,0,1,0,3,2,2,1,0,0,2,2,3,36
1,1,2,0,2,0,1,2,0,0,0,0,2,13
0,0,1,0,1,1,2,1,0,0,1,0,2,19
2,3,2,0,5,4,1,4,0,3,0,0,0,13
0,1,2,0,3,2,2,2,1,1,2,1,2,10
2,0,1,0,2,0,1,3,0,0,0,1,0,10
1,0,1,0,2,0,1,2,0,0,0,1,0,10
2,0,1,0,1,0,1,4,0,0,0,1,3,32
0,2,1,0,4,2,2,2,0,1,2,1,2,36
1,1,2,0,3,1,1,1,0,0,0,0,2,36
0,1,1,0,1,2,2,3,1,2,1,2,3,13
0,3,1,0,3,0,2,4,0,0,0,1,0,36
0,1,1,0,3,1,2,1,1,0,0,1,0,10
0,0,1,0,2,0,2,4,1,0,0,1,0,36
0,2,2,0,1,0,2,2,0,0,0,3,0,10
0,0,2,0,3,0,1,4,0,0,0,0,0,36
0,2,2,0,5,4,2,2,0,0,3,0,0,38
0,1,2,0,5,2,2,3,0,1,1,1,3,13
1,1,1,1,4,2,1,1,0,0,0,1,0,10
0,0,1,0,2,0,2,1,0,0,0,0,0,10
1,0,1,0,3,0,2,3,0,0,0,1,0,10
1,1,1,0,3,1,2,4,0,0,0,1,3,10
1,0,1,0,3,2,1,4,0,0,1,1,2,10
0,1,1,0,5,2,2,4,1,0,1,1,2,10
0,0,1,0,3,0,2,3,0,0,0,0,3,10
0,0,1,0,3,0,2,2,0,0,0,0,0,10
1,1,1,0,4,2,1,4,0,0,1,1,2,22
0,1,1,0,3,1,2,1,0,0,0,1,3,13
0,1,1,1,3,3,2,2,1,0,1,1,3,10
0,1,1,0,5,2,2,2,1,2,0,1,0,13
0,0,2,0,5,3,2,3,0,0,0,2,2,33
0,1,1,0,3,2,2,2,0,0,0,3,0,13
0,0,2,0,1,1,2,1,0,0,1,1,2,13
0,0,1,0,1,1,2,1,0,0,1,1,3,36
1,1,2,0,3,0,1,2,0,0,0,1,2,36
1,1,2,0,3,1,1,3,0,0,0,0,2,22
2,0,1,0,3,4,1,1,0,0,0,1,0,13
0,0,1,0,3,2,2,3,0,0,1,2,0,13
0,3,2,0,3,3,2,4,0,1,1,0,2,22
2,1,2,0,3,3,1,0,1,0,1,1,2,13
0,2,2,0,3,3,2,3,0,0,0,2,0,22
2,1,1,0,4,2,1,1,0,1,0,0,2,13
0,1,1,0,5,1,2,4,0,0,0,0,3,22
2,1,1,0,3,2,1,3,0,0,0,2,0,13
0,0,1,0,4,1,2,1,0,0,0,1,3,22
2,1,1,1,3,1,1,0,1,0,0,1,0,39
0,1,2,0,3,3,2,2,1,0,1,1,3,38
0,1,2,0,3,4,2,4,0,0,3,1,2,13
0,2,2,0,2,3,2,4,1,0,1,1,2,13
0,0,2,1,3,4,2,2,1,0,1,3,3,13
0,1,1,0,5,2,2,3,0,0,0,0,0,38
0,1,1,0,5,0,2,4,0,0,0,3,3,32
2,2,2,0,4,3,1,2,0,2,2,3,2,10
0,1,1,0,3,0,2,2,0,0,0,0,3,33
0,3,1,1,3,2,2,2,0,0,0,0,2,21
0,2,1,0,5,3,2,2,1,2,2,2,0,38
0,3,1,0,5,4,2,4,0,3,3,1,2,38
0,1,1,0,5,3,2,4,0,2,2,0,2,38
0,1,1,0,3,3,2,4,1,1,2,2,2,10
1,0,1,0,2,0,1,4,0,0,0,1,3,10
0,0,1,0,3,0,2,4,0,0,1,0,3,33
0,1,2,0,5,2,2,4,0,1,1,1,0,10
0,1,1,0,4,3,2,3,0,0,0,1,0,38
0,0,1,0,3,3,2,4,1,0,0,1,2,10
0,1,1,0,4,1,2,1,0,0,0,0,3,7
0,1,1,0,2,3,2,2,1,0,2,1,3,13
0,3,2,0,3,3,2,4,1,0,1,3,0,10
0,3,2,0,4,3,2,4,0,3,3,0,2,13
0,0,2,0,4,0,2,2,0,0,1,3,0,10
0,0,1,0,3,0,2,2,0,0,0,0,3,13
0,1,1,0,4,2,2,1,0,1,1,3,2,10
0,0,1,0,2,0,2,3,1,0,0,1,0,13
0,1,1,0,5,0,2,3,0,1,0,1,0,5
0,1,2,0,3,3,2,4,1,1,1,1,3,39
0,0,1,0,4,0,2,4,0,0,0,3,3,13
0,0,1,0,1,0,2,1,0,1,0,3,0,38
0,0,1,0,3,3,2,4,0,0,3,0,0,38
0,3,1,0,5,2,2,1,1,0,1,0,2,38
0,1,2,0,5,2,2,2,1,1,1,0,3,13
1,1,1,0,5,1,1,1,1,0,0,1,0,38
0,1,2,0,5,1,2,1,0,0,1,2,3,38
0,3,1,0,4,1,2,4,0,1,2,2,3,38
0,2,1,0,4,2,2,4,1,0,1,0,0,13
0,0,2,0,3,0,2,1,0,0,0,1,2,10
0,1,2,0,5,2,2,3,0,0,0,1,0,38
0,2,1,0,5,1,2,4,0,0,2,1,3,13
0,0,2,0,5,0,2,0,0,0,0,3,0,13
0,2,2,0,5,4,2,4,0,0,3,1,3,39
2,2,2,0,3,1,1,2,0,1,0,2,3,38
0,1,1,0,5,4,2,3,1,0,1,0,0,38
0,1,1,0,5,1,2,3,0,0,0,1,0,5
0,0,2,0,3,3,2,1,1,0,1,0,2,10
0,1,1,1,5,3,2,4,0,0,1,0,3,5
0,1,1,0,2,4,2,4,0,1,1,1,3,38
0,1,1,0,5,3,2,1,0,0,2,1,0,38
0,1,1,1,4,2,2,1,0,1,0,0,0,5
0,2,2,0,2,1,2,4,0,0,0,1,3,5
0,2,2,0,2,2,2,4,0,1,1,1,2,38
0,0,1,0,5,3,2,1,0,0,2,1,2,38
0,3,1,0,5,2,2,4,1,2,1,1,2,13
0,3,1,0,2,4,2,2,1,0,2,1,3,38
1,1,1,1,4,2,1,1,0,0,1,1,3,41
0,3,1,0,4,4,2,4,0,0,0,1,0,41
0,3,2,0,2,3,2,4,1,0,0,2,3,41
0,1,1,0,5,3,0,4,0,3,0,0,3,38
0,1,2,0,4,2,2,4,0,0,0,1,3,41
0,3,1,0,2,1,2,4,0,0,0,0,0,41
2,1,2,0,3,2,1,3,0,0,0,0,3,41
0,1,1,0,3,3,2,1,0,0,2,2,2,38
0,2,2,0,5,2,2,4,0,0,1,1,0,38
2,1,1,1,4,2,1,4,0,0,0,3,0,38
0,0,2,0,1,2,2,4,0,0,1,3,0,13
0,2,1,0,3,2,2,4,0,0,1,3,2,41
2,2,2,0,3,1,1,1,0,1,1,1,2,33
1,1,1,1,1,0,1,2,0,0,0,1,0,39
0,1,1,1,3,1,2,2,0,0,1,1,0,7
0,1,2,1,1,1,2,2,1,0,1,3,0,33
1,1,1,1,3,2,2,1,1,0,1,1,0,38
1,1,1,1,3,1,2,2,1,0,1,1,0,10
0,1,1,0,4,3,2,1,0,0,1,1,0,33
1,1,1,1,3,1,1,2,1,1,2,3,0,5
2,1,1,1,4,1,1,1,0,0,0,3,0,5
0,0,1,0,3,0,2,2,0,0,0,1,0,7
1,1,1,1,1,1,1,1,1,0,1,3,0,38
0,0,1,1,2,2,2,1,1,0,1,2,2,7
1,0,1,1,2,1,1,2,0,0,1,2,0,7
2,1,1,1,1,1,1,2,0,0,2,2,0,33
1,0,1,1,5,1,2,1,1,1,1,1,0,7
1,1,2,1,2,2,2,2,0,1,2,3,0,7
2,1,1,1,2,2,1,3,1,0,1,2,0,5
0,1,1,0,3,0,2,3,0,0,0,0,0,22
2,0,1,1,3,0,1,1,0,0,0,1,0,22
3,2,1,0,4,4,1,1,0,0,2,3,3,22
2,1,1,0,4,2,1,1,0,0,0,2,0,22
2,1,1,0,2,0,1,2,1,0,0,2,3,13
0,0,1,0,3,0,2,4,0,0,0,2,3,13
0,3,2,1,5,3,2,4,0,3,1,1,3,22
2,1,1,0,4,1,1,1,0,1,1,2,3,22
1,2,2,0,5,4,1,4,1,1,1,1,2,22
1,3,1,0,3,1,1,1,0,1,0,1,0,13
0,0,2,0,1,2,2,1,0,0,1,3,3,13
0,1,2,0,4,2,2,1,0,0,0,0,3,13
1,2,1,0,1,0,2,2,0,0,0,2,0,22
2,1,1,0,1,1,1,2,0,0,0,1,0,10
0,1,2,0,4,2,2,1,0,0,0,0,0,13
0,0,1,1,4,1,2,3,0,0,1,2,0,7
2,1,1,1,2,1,1,2,0,0,1,3,0,7
2,1,1,0,1,1,2,1,0,0,0,1,0,10
0,1,2,0,3,0,2,4,0,0,0,2,2,13
0,1,2,0,3,2,2,3,0,1,1,0,0,5
2,2,2,0,3,4,1,4,0,0,0,1,3,5
0,0,2,0,3,2,2,2,1,1,1,0,2,16
0,1,1,0,3,2,2,2,0,0,0,2,2,17
2,1,1,0,1,1,1,1,0,0,1,1,0,17
0,0,2,1,4,3,2,1,0,0,1,1,2,17
2,0,1,0,1,1,1,3,0,0,2,1,0,17
0,0,1,0,3,2,2,0,0,0,0,1,2,17
0,0,2,0,5,1,2,3,1,0,1,3,2,17
0,0,2,0,1,1,2,1,1,0,1,3,0,17
2,0,1,0,3,3,1,0,0,0,0,1,2,17
0,0,2,0,1,1,2,1,0,0,1,3,2,17
2,1,1,0,3,0,1,0,0,0,1,2,0,5
0,1,2,0,3,4,2,2,0,0,1,3,3,13
0,0,1,0,3,1,2,2,0,0,0,2,2,22
0,3,1,1,3,3,1,1,0,2,2,1,3,13
0,1,1,0,5,3,2,3,0,0,1,1,2,38
2,2,1,0,5,1,1,2,0,0,1,1,0,7
0,2,1,0,3,2,2,1,0,1,1,0,2,33
1,1,1,1,3,2,2,1,0,0,1,3,0,5
0,3,1,0,5,4,2,4,1,0,1,0,3,38
1,0,1,0,1,1,2,1,1,0,0,0,0,12
0,1,2,0,3,3,2,4,0,0,2,1,0,38
1,3,1,0,2,1,2,3,1,3,3,2,2,7
0,0,1,1,1,1,2,1,0,0,1,1,0,38
0,1,2,0,2,1,2,0,1,0,2,3,3,5
0,1,1,0,1,4,2,1,0,0,2,3,3,17
2,1,1,0,2,1,1,0,0,0,0,0,0,12
0,1,1,1,1,0,2,3,1,0,0,1,3,16
0,3,2,0,5,4,2,3,1,0,0,0,0,17
0,0,1,0,1,1,2,0,0,0,0,1,0,17
2,1,2,0,2,2,1,0,1,0,0,1,0,16
1,3,2,0,3,1,2,4,1,0,0,3,3,5
0,2,1,0,5,1,2,3,1,0,1,3,3,41
0,0,1,0,5,1,2,2,0,0,0,0,0,17
0,0,2,0,1,1,2,0,0,0,1,1,0,7
2,1,1,1,2,2,1,2,0,0,1,1,0,39
2,1,1,0,2,1,2,1,0,0,1,1,0,5
0,1,2,0,3,2,2,4,0,0,0,1,3,5
0,1,2,0,1,0,2,2,1,0,0,3,0,41
0,3,1,0,2,2,2,2,0,0,0,1,3,41
0,0,1,0,3,1,2,4,0,0,1,0,0,16
0,1,1,0,4,4,2,4,1,1,2,2,2,32
0,1,1,1,3,3,2,4,0,1,2,2,3,32
0,1,1,0,4,0,2,4,0,0,0,2,3,32
0,1,1,0,5,2,2,1,1,0,0,1,3,32
0,1,1,1,4,2,2,4,0,0,0,0,0,32
0,1,1,0,3,1,2,3,0,0,0,0,0,32
0,2,1,0,3,3,2,3,0,2,1,1,2,17
0,3,2,0,4,1,2,2,0,1,0,1,0,32
0,3,1,0,3,2,2,4,0,0,0,0,0,15
0,3,1,0,4,0,2,4,0,0,0,0,3,32
0,1,2,0,3,1,2,4,0,0,1,0,0,16
0,3,1,0,4,2,2,4,0,3,2,0,3,13
0,3,2,0,2,2,2,2,0,0,1,1,3,17
0,3,2,0,5,3,2,2,0,3,0,1,2,32
0,2,2,0,2,0,2,3,0,1,0,1,0,4
0,2,2,1,4,3,2,1,0,2,1,1,3,39
1,1,1,0,3,1,1,2,0,0,0,0,3,10
1,3,1,0,3,3,2,4,0,3,3,1,2,32
2,1,1,0,5,2,1,3,0,0,0,1,2,32
0,1,1,0,5,2,2,2,0,1,1,2,3,10
0,1,2,0,4,3,2,2,0,1,0,3,2,32
0,1,1,0,3,1,2,2,1,0,0,1,2,35
0,2,2,0,3,2,2,2,0,1,0,1,3,4
1,1,1,0,3,1,2,2,0,0,0,3,2,32
0,2,1,0,2,2,2,3,0,1,1,3,3,32
0,2,1,0,3,2,2,2,0,0,1,1,3,32
0,3,1,0,5,0,2,4,0,0,3,2,0,13
0,1,1,0,5,4,2,3,0,2,0,3,0,32
0,1,2,0,2,0,2,3,0,0,1,0,0,17
0,1,2,0,3,2,2,1,0,0,0,0,0,17
0,0,2,0,1,4,2,1,1,0,0,1,0,10
0,1,1,0,4,4,2,4,0,0,0,3,0,41
0,0,1,1,4,0,2,3,0,0,1,0,2,32
0,2,1,0,2,2,2,3,1,0,2,1,0,17
0,0,1,0,3,1,2,0,0,0,0,0,0,33
1,1,2,1,5,2,2,4,0,1,1,1,3,7
1,2,1,1,5,2,2,2,1,2,1,1,0,7
1,1,1,1,5,1,1,2,1,2,2,1,0,7
1,1,1,1,5,1,2,3,1,1,2,1,2,22
0,3,1,1,4,3,2,1,0,0,0,2,2,32
1,2,1,0,3,3,2,2,1,1,1,1,3,33
1,2,2,0,2,2,2,4,0,0,1,1,2,17
2,1,1,1,4,4,1,2,0,0,1,3,2,33
2,1,1,1,1,1,1,2,0,0,1,0,0,38
0,3,1,0,3,4,2,2,0,0,3,2,2,22
0,2,1,0,3,3,2,1,0,0,0,1,2,38
0,0,1,0,5,2,2,4,1,0,2,1,3,22
0,1,1,0,1,1,2,2,0,1,1,1,2,38
0,1,1,1,5,0,2,4,1,0,0,2,3,13
1,0,2,0,4,0,2,3,0,0,0,2,0,33
0,1,1,0,4,2,2,2,0,1,2,1,0,33
0,1,1,0,4,3,2,4,0,1,2,1,2,38
0,1,2,0,5,4,2,4,0,0,0,3,0,13
0,2,1,0,5,1,2,2,1,0,2,1,3,5
0,0,2,0,3,3,2,2,0,0,0,1,0,38
0,1,1,1,3,1,2,1,1,0,0,1,2,10
0,1,1,0,3,0,2,3,0,0,1,1,0,17
0,0,1,0,2,1,2,0,1,0,0,0,0,17
